customer_id,name,age,gender,income,employment_status,marital_status,address,city
1000,Michelle Clark,54,Female,14235.45,Self-Employed,Single,"0109 Myers Ranch, North Brianmouth, MI 44964",Stevehaven
1001,James Black,65,Male,5555.29,Unemployed,Single,"7408 Bryan Crossing, Vaughnberg, SC 26048",Ramoschester
1014,Alexander Ware,44,Male,5136.24,Self-Employed,Married,"4293 Brittany Groves Suite 415, East Yesenia, FL 43981",Port Maria
1023,Haley Brown,68,Male,6791.15,Employed,Single,"49786 Jason Dale Apt. 132, Port Sheilaborough, IN 87205",Thomasville
1033,Jordan Jenkins,48,Female,3716.21,Unemployed,Single,"569 Samuel Heights, Port Carolfort, WA 75735",Josephburgh
1039,Candice Smith,44,Male,4236.91,Unemployed,Married,"794 Wallace Cliff, Rachelbury, MA 88584",West Timothy
1050,Michael Patrick,26,Male,13471.29,Unemployed,Single,"482 Katherine Radial, Jonesfurt, DC 30593",Lydiastad
1052,Ian Cobb,55,Male,6451.75,Employed,Married,"2930 Brendan Mount Suite 877, Eugeneton, KS 57976",Lake Ambershire
1064,Anthony Moore,21,Male,10723.28,Unemployed,Married,"53364 White Fork Suite 553, Colonland, UT 50095",East Timothy
1068,Kristi Schmitt,40,Female,3243.17,Employed,Single,"7365 Valenzuela Stream Suite 647, East Steven, FL 54900",Port Justin
1080,Christopher Simpson,42,Male,5035.78,Self-Employed,Married,"62149 Wood Hill Apt. 329, South Daniel, AK 54395",West Jessica
1091,Sarah Maddox,61,Female,10628.26,Employed,Married,"544 Gonzalez Squares, East Stevenburgh, ND 37933",East Angelamouth
1094,Kevin Wells,32,Male,3412.31,Employed,Single,"05848 Hicks Neck, East Brandonstad, VI 92352",Stevefort
1106,John Cunningham,22,Female,7890.78,Employed,Single,"98831 Taylor Crossroad Apt. 168, Sharonshire, CT 13152",East Annside
1138,Russell Patterson,67,Female,2327.71,Unemployed,Married,"51562 James Spurs, North Kristystad, AR 51804",Howardville
1145,Beverly Simon,18,Male,6391.15,Employed,Single,"5308 Franco Shoal Apt. 240, Port Cassandrastad, NV 60605",West Bridgetview
1161,Edward Myers,21,Male,2347.59,Unemployed,Married,"49031 Matthew Gateway Suite 907, East Brianna, MT 29931",North Danielchester
1167,Stacey Bruce,52,Male,12899.14,Employed,Single,"47967 Hawkins Field, Lake Stephenmouth, CO 03757",Aliciaburgh
1178,Jill Flores,47,Male,9791.16,Employed,Married,"175 Hammond Fields, West Beth, MP 40629",West Gloria
1189,Jessica Colon,47,Male,6004.35,Self-Employed,Married,"01371 Stone Centers, Christensenfurt, ME 77836",Lake Rubenborough
1198,Sheila Thompson,68,Female,3682.86,Employed,Single,"305 Brittany Tunnel, Michaelberg, NC 56664",Cooperfurt
1199,Jacob Acosta,61,Female,8238.36,Self-Employed,Married,"8688 Esparza Lake, Allenfurt, OR 48387",West Lindaland
1208,Laura Burton,49,Female,3246.55,Employed,Single,"82710 Miller Path Apt. 107, Johnport, TX 43306",Johnburgh
1213,Kyle King,26,Male,9544.78,Employed,Single,"046 Johnson Forges Apt. 763, North Ricardo, VI 23145",West Brianview
1236,Betty Jensen,61,Male,13417.31,Employed,Married,"64862 Charles Villages Suite 260, Lake Benjamin, FL 92060",West Meredith
1239,Francisco Ochoa,54,Female,9735.56,Unemployed,Married,"74292 Johnson Tunnel Suite 414, Florestown, UT 25102",Lake Davidfurt
1263,Kathryn Collins,19,Female,5553.97,Self-Employed,Married,"487 Harris Knolls, Brewerside, IL 19146",South Derrickstad
1276,Dana Maxwell,44,Female,4242.53,Self-Employed,Married,"79259 Walker Place, Emilyfurt, UT 74150",South Elizabeth
1290,Gabriel Lawrence,59,Female,5202.51,Employed,Married,"2884 Michael Plains Apt. 930, Port Brett, IN 93776",Williamstad
1315,Jacqueline Reed,26,Female,4990.72,Self-Employed,Married,"67491 Michelle Mill, Annside, VI 23293",Barrettstad
1319,Paul Wade,69,Male,14568.97,Unemployed,Single,"66587 Nelson Orchard, Taylorville, NH 48715",Jamieberg
1327,Terry Richardson,39,Female,10208.79,Self-Employed,Married,"PSC 0474, Box 2704, APO AP 06294",South Chad
1332,Jacqueline Snyder,37,Female,7022.59,Employed,Married,"7009 Valerie Gateway, New Megan, AS 20413",Jocelynland
1337,Amy Smith,34,Male,7537.71,Unemployed,Married,"514 Stephen Spring Suite 419, Castroview, AZ 11235",Katherinefort
1362,Diana Boyd,56,Female,12760.71,Employed,Married,"423 Lewis Mills Apt. 895, Heathtown, NJ 58264",South Gary
1371,Lisa Anderson,58,Male,14504.57,Unemployed,Single,"414 Cheryl Place Suite 256, Greenechester, VT 87373",Jenniferview
1381,Jane Harris,38,Male,5780.55,Employed,Married,"81824 Wilson Squares Suite 395, Conniestad, NV 83980",North Michael
1386,Kristina Williams,58,Female,9478.85,Self-Employed,Single,"816 Michael Junctions Apt. 298, Blackshire, SD 64754",Smithborough
1398,Dean Black,33,Male,14299.15,Employed,Single,"92867 Hernandez Lake, North Alexandra, MH 78910",Debratown
1400,Jo Lopez,46,Male,9031.86,Self-Employed,Married,"764 David Square Apt. 425, East Deanna, IL 05501",Angelafurt
1405,Michael Davis,29,Female,5443.94,Unemployed,Single,"626 Stephanie Mountain Apt. 250, Port Justinfort, PR 29895",New Russellmouth
1406,Thomas Thomas,66,Male,13087.89,Employed,Married,"98252 Gutierrez Village Apt. 772, Davidberg, CT 03841",East Thomaston
1428,Dawn Harrison,44,Female,9244.32,Employed,Married,"7464 Mark Road Suite 002, Parkertown, OH 24365",Heatherville
1435,Christopher Davis,65,Female,8997.7,Unemployed,Married,"9121 Joseph Route, Millerport, MT 14085",Crystalview
1443,Kevin Smith,37,Male,10718.8,Employed,Married,"21146 Johnson Creek Suite 098, Kellerbury, CT 11142",South Carla
1451,Angela Benjamin,61,Male,6089.65,Self-Employed,Single,"PSC 8991, Box 5824, APO AP 14451",South Bailey
1452,Joseph Ward,23,Male,6218.26,Unemployed,Single,"2865 Bridges Trafficway Apt. 570, Tiffanyton, TX 90053",Port Timothymouth
1473,Dr. Luis Rodriguez,57,Male,7883.53,Employed,Single,"Unit 3425 Box 4922, DPO AA 97684",Donaldview
1477,Erik Moore,50,Male,5908.49,Unemployed,Married,"9751 Robert Mills, Chelseahaven, MD 44775",Emilyside
1502,James Wilkinson,18,Male,10007.85,Self-Employed,Single,"0533 Garcia Burgs Suite 655, Janechester, IN 01072",Port Johnny
1525,Lauren Mcfarland,58,Female,13134.21,Self-Employed,Married,"22406 Nicole Passage Apt. 037, Russoport, GA 91650",Anthonyhaven
1527,Sarah Smith,42,Female,7785.64,Self-Employed,Married,"4074 Huber Well Apt. 715, South Nathaniel, WA 60362",East Nicoleview
1529,Corey Thompson,44,Female,13314.66,Unemployed,Single,"328 Miller Dam, New Timothyton, SC 18116",Lake Kayla
1542,Miss Kristin Anderson,21,Male,9722.65,Self-Employed,Married,"11532 Munoz Motorway, Fisherfurt, HI 32668",Pamelamouth
1544,April Simon,31,Male,8453.34,Employed,Married,"417 Miranda Lane Suite 184, Huntton, WI 30378",South Lauraville
1549,Greg Ellison,23,Male,3088.08,Unemployed,Married,"27410 Stout Flat, South Christopherfurt, FM 50455",Lake Colton
1568,Christopher Grimes,68,Female,5300.24,Unemployed,Single,"50964 Rocha Heights, Morganport, OR 03782",North Joseph
1603,Pamela Clark,70,Female,12119.99,Employed,Married,"402 Murphy Passage, South Ryanhaven, OR 86850",Port Kyle
1605,Sandra Sherman,58,Female,9266.62,Employed,Married,"369 Brock Inlet Suite 029, Cannonhaven, IA 07717",Port Jennifer
1606,Amber Dunn,38,Female,9320.58,Self-Employed,Single,"774 Henderson Tunnel, Stephaniechester, OK 88086",South Johnview
1608,Steven Johns,36,Male,7975.19,Self-Employed,Married,"USNS Molina, FPO AA 80370",Collinsland
1614,Sara Freeman,45,Female,3202.53,Employed,Married,"26428 Amy Creek Suite 325, Port Zachary, NV 32078",Riverafurt
1619,Crystal Barker,47,Male,14465.56,Employed,Married,"637 James Fort, Schneiderbury, UT 11527",Madisontown
1621,Michael Barnes,60,Male,8586.9,Unemployed,Married,"63453 Weber Oval Apt. 797, Mckenzieview, SC 95980",Hernandezmouth
1622,Dr. Yolanda Gray,31,Female,14661.37,Employed,Single,"PSC 4213, Box 8809, APO AP 76182",North Daniel
1635,Sharon Miller,39,Female,4116.54,Unemployed,Single,"27047 Stephen Haven Suite 152, South Claudia, IN 65973",South Cameronmouth
1672,Brian Young,65,Female,3824.86,Unemployed,Single,"0015 Joel Lodge, Harperview, VA 45432",Williamport
1676,Anna Gilmore,50,Female,3060.95,Employed,Married,"03811 Valerie Fall Apt. 571, Port Michael, WI 17610",Johnton
1696,Jason Lopez MD,58,Female,9890.42,Self-Employed,Married,"2327 Joanna Courts Apt. 052, Brettfort, WA 41133",New Ginaberg
1702,Richard Valdez,32,Female,11590.79,Employed,Married,"12466 Shannon Cliffs Apt. 140, Angelborough, FL 15316",Hallberg
1707,Sherri Yates,49,Male,11255.3,Self-Employed,Single,"Unit 9478 Box 4939, DPO AP 45087",Port Ambermouth
1710,Andrew Willis,33,Female,12852.9,Unemployed,Single,"67541 Bryan Trail, Davidport, VT 07345",Aprilshire
1712,Mr. Brian Robinson,68,Female,3736.14,Self-Employed,Married,"0648 Herrera Wells, East Ashley, MO 12296",South Kimberlyfort
1720,Frances Mclean,50,Female,10481.71,Employed,Single,"2142 Latasha Divide Apt. 209, Hernandezport, ME 42672",East Lindsey
1750,William Simmons,55,Male,4137.7,Self-Employed,Single,"50302 Miller Lane Apt. 162, Johnton, OK 69877",West Jeremiahbury
1753,Jennifer Jackson,44,Female,3636.03,Unemployed,Single,"49629 Matthew Square, Thompsonbury, DE 38717",Kylefort
1758,Misty Ellis,54,Male,14938.58,Unemployed,Single,"7432 Bautista Center, Port Jessicaport, VI 93017",Rhondatown
1773,Robert Johnson,37,Female,3342.15,Unemployed,Married,"4187 Julie Mission Suite 810, Joycebury, CA 81182",Paulbury
1777,Deborah Delacruz,52,Female,4051.2,Self-Employed,Single,"8830 Brown Shoal Apt. 870, Port Natalietown, KS 49389",Kleinmouth
1779,Elijah Williamson,46,Male,10270.84,Self-Employed,Married,"7035 Hudson Garden, Edwardfort, ME 68837",Lake Brandonview
1801,Anthony Meadows,65,Male,13599.09,Self-Employed,Single,"3183 John Forges Apt. 082, Port Tony, WI 23556",Lake Adamfurt
1818,Christopher Farrell,39,Male,12431.95,Employed,Married,"84379 Mendez Forks, North Amanda, CO 10595",Bartonbury
1823,Daniel Fuller,68,Female,8372.53,Unemployed,Single,"206 Morales Vista Apt. 931, Knighttown, AK 11625",East Kellychester
1860,David Davis,54,Female,2420.8,Self-Employed,Single,"5513 Watson Trafficway Apt. 390, West Nicole, IL 60774",Johnsonchester
1870,Samuel Ritter,48,Female,7748.75,Employed,Married,"7130 Gonzales Mountain Suite 723, Seanchester, CO 93889",Sheastad
1886,Tim Obrien,65,Male,8712.91,Self-Employed,Married,"75442 Hudson Fields Suite 407, New Sierratown, IA 35090",Brianfort
1892,Marcus Wong Jr.,26,Male,13871.23,Unemployed,Single,"USS Thompson, FPO AA 15628",New Christina
1903,Megan Leach,63,Male,13885.7,Employed,Married,"67825 Foster Fort, Scotttown, MA 30857",Johnsonborough
1917,Colleen Richard,60,Male,8551.46,Unemployed,Married,"83555 Adam Cove, South Ebony, KY 72386",Walkertown
1922,Taylor Jones,39,Male,14186.55,Unemployed,Single,"497 Timothy Port, Wiseshire, CT 78834",Lake Meganmouth
1944,Tracey Owen,25,Female,13525.89,Employed,Married,"84077 Victoria Glen, Erinburgh, CT 50362",South Sarahshire
1946,Melissa Shea,39,Male,9147.77,Employed,Single,"171 Stephen Ports Suite 429, Angelamouth, OH 91952",Thompsonfort
1968,Karen Carr,63,Female,5722.1,Unemployed,Single,"007 Michael Stream Apt. 246, Yorkberg, VA 29235",Robinsonfurt
1972,Summer Everett,46,Male,12694.46,Unemployed,Single,"08032 Mike Trail, Susanstad, IN 17252",Port Hannah
1976,Keith Hughes,23,Female,5857.98,Self-Employed,Single,"59908 Kane Estates Suite 162, Port Janice, VA 28886",North Michaelstad
1982,Robert Stevenson,59,Female,6409.62,Self-Employed,Single,"USNV Roberts, FPO AE 43676",West Michelle
2002,Alicia Byrd,38,Female,3865.96,Self-Employed,Single,"0537 Justin Unions Apt. 494, West Timothy, MT 05806",Nelsonberg
2021,Christine Hart,63,Female,2922.15,Self-Employed,Single,"67749 Travis Union, Port Tracy, VI 61407",East Christine
2026,Laura Carrillo,53,Female,5798.18,Employed,Married,"65285 Kimberly Well, New Melissaside, AZ 87907",South Jenniferchester
2028,Gabriela Beck,31,Female,7455.98,Employed,Married,"Unit 5184 Box 9830, DPO AA 54671",New Paulbury
2035,Timothy Brown,49,Male,14801.8,Employed,Single,"657 Natalie Key Apt. 323, East Misty, MP 62303",Michaelmouth
2074,Nancy Mcgee,50,Male,11012.89,Self-Employed,Married,"Unit 9661 Box 0823, DPO AP 70373",Youngport
2077,Jeffrey Bennett,21,Female,5561.09,Self-Employed,Single,"USCGC Martin, FPO AA 65196",Markhaven
2080,Charles Ibarra,30,Male,5728.45,Self-Employed,Single,"180 Wright Ports Apt. 845, Port Donnaburgh, VT 60806",East Lindsayhaven
2095,Tara Dixon,32,Female,14960.84,Employed,Single,"296 Alexander Cape, South Jamie, VT 67779",Port Daisy
2111,Gregory Turner,42,Male,14138.85,Self-Employed,Married,"7430 Erica Greens, South Gregoryhaven, NM 70989",Jonesshire
2137,Heather Phillips,31,Male,4594.01,Employed,Married,"622 Byrd Hill Apt. 256, North Stevenville, AK 88708",Port Benjamin
2139,Christina Guzman,53,Male,12021.72,Unemployed,Single,"2714 Darren Walk Suite 132, Herreraland, NC 03205",East Luisview
2150,Jamie Swanson,41,Female,3629.92,Unemployed,Single,"65653 Marquez Walk, New Allison, NE 83079",Moraleschester
2153,Jennifer Evans,36,Male,3378.11,Employed,Married,"916 Danielle Islands, New Jessica, CA 80965",Ayalastad
2170,Colleen Roberts,18,Female,5243.25,Self-Employed,Single,"0941 Brandon Path Suite 310, Josephview, NJ 01546",Mannmouth
2172,Jennifer Giles,51,Female,10517.99,Unemployed,Single,"80855 Camacho Bridge, Lake Michael, MT 15025",Edwardsstad
2174,Kathryn Welch,19,Male,4676.85,Self-Employed,Married,"908 Williams Springs, Rodriguezbury, AZ 22610",Nancyton
2177,Brandon Perez,22,Male,13876.09,Unemployed,Single,"24207 Belinda Meadows, Schmidtview, WI 86788",South Adamport
2190,Kari Smith,27,Female,9841.95,Self-Employed,Single,"417 Jacob Prairie Suite 491, Kimside, PA 77271",Luisfort
2198,Regina Martinez,61,Male,4857.78,Unemployed,Married,"5015 Vance Isle, New Joannhaven, ID 99514",New Christopherville
2208,Michael Weaver,59,Male,13783.85,Employed,Married,"022 Cynthia Keys, Terrellville, KY 65344",Gregorytown
2210,Timothy Anderson,67,Female,9174.14,Employed,Married,"120 William Roads Suite 880, Houstonland, NH 54577",Jessicahaven
2214,Kayla Guerrero,58,Female,2535.45,Unemployed,Single,"9506 Hunter Haven Apt. 206, West Mariafort, PA 11398",East Catherine
